Category,SL.No.,NAME OF THE AIRLINE,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
DOMESTIC CARRIERS,1,AIR INDIA,732189,790321,13048.6,18780.9
DOMESTIC CARRIERS,2,AIR INDIA EXPRESS,405131,477456,288.0*,2393.2*
DOMESTIC CARRIERS,3,INDIGO,274404,287496,378.0,3285.0
DOMESTIC CARRIERS,4,JET AIRWAYS,986139,1078572,17126.8,24660.2
DOMESTIC CARRIERS,5,SPICEJET,212884,223537,311.4,1318.4
DOMESTIC CARRIERS,6,TOTAL (DOMESTIC CARRIERS),2610747,2857382,31152.7,50437.8
FOREIGN CARRIERS,1,AEROFLOT,32204,39610,37.2,1098.3
FOREIGN CARRIERS,2,AEROLOGIC,0,0,10.3,11.8
FOREIGN CARRIERS,3,AIR ARABIA,206397,223659,402.3,3207.1
FOREIGN CARRIERS,4,AIR ASIA BERHAD,93461,95246,260.6,996.1
FOREIGN CARRIERS,5,AIR ASIA X,15941,16507,536.9,630.0
FOREIGN CARRIERS,6,AIR ASTANA,10165,11904,5.5,177.0
FOREIGN CARRIERS,7,AIR AUSTRAL,1695,2104,0.5,18.1
FOREIGN CARRIERS,8,AIR CANADA,28299,29458,265.0,637.5
FOREIGN CARRIERS,9,AIR CHINA,15116,15332,381.6,381.5
FOREIGN CARRIERS,10,AIR FRANCE,67497,73342,3528.3,3379.0
FOREIGN CARRIERS,11,AIR MANAS,3206,3900,3.2,56.1
FOREIGN CARRIERS,12,AIR MAURITIUS,23928,24864,72.2,654.4
FOREIGN CARRIERS,13,AIR SEYCHELLES,7740,7842,1.3,18.6
FOREIGN CARRIERS,14,ALL NIPPON AIRWAYS,20945,25624,1421.5,1263.9
FOREIGN CARRIERS,15,ARIANA AFGHAN,7310,6765,124.9,215.5
FOREIGN CARRIERS,16,ASIANA AIRLINES,17604,19160,323.5,189.6
FOREIGN CARRIERS,17,AUSTRIAN AIRLINES,0,0,0.0,0.0
FOREIGN CARRIERS,18,BANGKOK AIRWAYS,11239,11451,82.3,33.7
FOREIGN CARRIERS,19,BHUTAN AIRLINES,3140,2908,0.0,0.0
FOREIGN CARRIERS,20,BIMAN BANGLADESH,11367,13286,0.2,2.8
FOREIGN CARRIERS,21,BRITISH AIRWAYS,120407,137991,4847.5,8899.7
FOREIGN CARRIERS,22,BRUSSELS AIRLINES,465,237,8.8,2.2
FOREIGN CARRIERS,23,BUDDHA AIR,240,212,0.0,0.0
FOREIGN CARRIERS,24,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,706.9,1343.7
FOREIGN CARRIERS,25,CATHAY PACIFIC,82449,96918,18375.0,11742.3
FOREIGN CARRIERS,26,CHINA AIRLINES LTD,8430,9342,585.9,665.1
FOREIGN CARRIERS,27,CHINA EASTERN AIRLINES,27094,29546,524.0,576.5
FOREIGN CARRIERS,28,CHINA SOUTHERN,30005,31761,928.9,130.1
FOREIGN CARRIERS,29,DRAGON AIR,16720,20726,9.7,28.1
FOREIGN CARRIERS,30,DRUK AIR,10095,9342,1.4,17.0
FOREIGN CARRIERS,31,EGYPT AIR,4520,4966,8.5,93.3
FOREIGN CARRIERS,32,EL-AL-ISRAEL,3653,4391,108.9,244.5
FOREIGN CARRIERS,33,EMIRATES AIRLINE,634185,719766,15205.0,38601.1
FOREIGN CARRIERS,34,ETHIOPIAN AIRLINES,9856,12790,45.9,66.2
FOREIGN CARRIERS,35,ETIHAD AIRLINES,323412,369249,3989.3,7269.6
FOREIGN CARRIERS,36,EVA AIRWAYS,0,0,0.0,0.0
FOREIGN CARRIERS,37,FEDERAL EXPRESS,0,0,3178.3,6591.8
FOREIGN CARRIERS,38,FINN AIR,14155,16850,485.7,816.6
FOREIGN CARRIERS,39,FLY DUBAI,59964,63136,34.7,684.6
FOREIGN CARRIERS,40,GARUDA INDONESIA,4104,4386,3.8,73.2
FOREIGN CARRIERS,41,GULF AIR,103064,109150,207.7,2012.8
FOREIGN CARRIERS,42,IRAN AIR,3074,2794,2.5,6.0
FOREIGN CARRIERS,43,IRAQI AIRWAYS,1967,1999,0.0,0.0
FOREIGN CARRIERS,44,ISLAND AVIATION SERVICES,13625,16013,13.8,203.1
FOREIGN CARRIERS,45,JAPAN AIRLINES,12458,14035,1236.6,702.6
FOREIGN CARRIERS,46,KALITTA AIR,0,0,3974.4,3726.1
FOREIGN CARRIERS,47,KAM AIR,11121,10297,0.0,587.9
FOREIGN CARRIERS,48,KENYA AIRWAYS,20084,23940,39.0,13.5
FOREIGN CARRIERS,49,KLM AIRLINES,30634,33489,619.7,1010.6
FOREIGN CARRIERS,50,KOREAN AIR,16040,17414,673.6,451.9
FOREIGN CARRIERS,51,KUWAIT AIRWAYS,76144,85510,1000.8,3677.7
FOREIGN CARRIERS,52,LUFTHANSA,140999,164557,10760.5,9690.8
FOREIGN CARRIERS,53,MAHAN AIR,9604,8306,26.0,262.4
FOREIGN CARRIERS,54,MALAYSIA AIRLINES,101742,108014,3448.8,3203.3
FOREIGN CARRIERS,55,MALINDO AIRWAYS,87465,92099,68.9,489.1
FOREIGN CARRIERS,56,MEGA MALDIVES AIRLINES,3315,4044,4.0,5.1
FOREIGN CARRIERS,57,MIHIN LANKA,0,0,0.0,0.0
FOREIGN CARRIERS,58,MYANMAR AIRLINES,8066,8169,0.0,0.0
FOREIGN CARRIERS,59,NEPAL AIRLINES CORPORATION,21657,20843,0.0,9.1
FOREIGN CARRIERS,60,NOVO AIR,4618,4797,0.0,0.0
FOREIGN CARRIERS,61,OMAN AIR,217624,236096,320.6,3784.3
FOREIGN CARRIERS,62,PAK INTERNATIONAL,2122,3030,4.3,60.7
FOREIGN CARRIERS,63,QATAR AIRWAYS,256011,270968,16119.6,26578.4
FOREIGN CARRIERS,64,REGENT AIRWAYS,28254,27887,0.0,17.8
FOREIGN CARRIERS,65,ROSSIYA AIRLINES,26094,26100,0.0,0.0
FOREIGN CARRIERS,66,SAFI AIRWAYS,9944,9298,153.7,275.8
FOREIGN CARRIERS,67,SAUDIA,180998,190302,666.5,7690.3
FOREIGN CARRIERS,68,SCAT AIRLINES,3015,3419,0.0,0.0
FOREIGN CARRIERS,69,SCOOT PTE LTD.,34952,33053,724.1,1221.2
FOREIGN CARRIERS,70,SHANDONG AIRLINES,5380,5953,0.0,0.0
FOREIGN CARRIERS,71,SILK AIR,49719,70591,259.9,670.6
FOREIGN CARRIERS,72,SINGAPORE AIRLINES,135212,155065,8468.9,8966.0
FOREIGN CARRIERS,73,SRILNKAN AIRWAYS,157254,159034,2074.0,4204.5
FOREIGN CARRIERS,74,SWISS AIR,30884,39354,2403.2,2771.3
FOREIGN CARRIERS,75,TAJIK AIR,1110,1172,2.4,42.7
FOREIGN CARRIERS,76,THAI AIR ASIA,40209,40996,234.4,226.1
FOREIGN CARRIERS,77,THAI AIRWAYS,168746,179524,7271.7,5865.4
FOREIGN CARRIERS,78,THAI SMILE AIRWAYS,17598,15964,0.0,0.0
FOREIGN CARRIERS,79,THOMAS COOK AIRLINES U.K.,0,0,0.0,0.0
FOREIGN CARRIERS,80,TIGER AIRWAYS,60064,58773,225.2,668.9
FOREIGN CARRIERS,81,TRANSAERO AIRLINES,0,0,0.0,0.0
FOREIGN CARRIERS,82,TURKISH AIRLINES,55231,64228,2591.2,3213.4
FOREIGN CARRIERS,83,TURKMENISTAN AIRLINES,11531,11182,0.0,47.6
FOREIGN CARRIERS,84,UNITED AIRLINES,40643,40259,628.6,1020.3
FOREIGN CARRIERS,85,UNITED AIRLINES BANGLADESH LTD.,0,0,0.0,0.0
FOREIGN CARRIERS,86,UNITED PARCEL SERVICES,0,0,1188.8,1172.9
FOREIGN CARRIERS,87,US BANGLA AIRLINES,8882,8808,0.0,0.0
FOREIGN CARRIERS,88,UZBEKISTAN AIRWAYS,12585,14158,949.6,1360.3
FOREIGN CARRIERS,89,VIRGIN ATLANTIC AIRLINES,19134,20491,599.9,1366.9
FOREIGN CARRIERS,90,YEMENIA AIRWAYS,1676,1543,0.0,14.4
FOREIGN CARRIERS,91,TOTAL (FOREIGN CARRIERS),4167557,4567289,123468.2,188108.4
TOTAL (DOMESTIC & FOREIGN CARRIERS),TOTAL (DOMESTIC & FOREIGN CARRIERS),TOTAL (DOMESTIC & FOREIGN CARRIERS),6778304,7424671,154620.9,238546.2
